timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-07,1.6600,1.6600,1.5900,1.6400,1.6400,9467505,0.0000,1.0000
2019-03-06,1.6500,1.7200,1.6200,1.6500,1.6500,13029112,0.0000,1.0000
2019-03-05,1.6100,1.7100,1.5700,1.6800,1.6800,18395993,0.0000,1.0000
2019-03-04,1.5300,1.6400,1.5000,1.5700,1.5700,17502043,0.0000,1.0000
2019-03-01,1.5800,1.6100,1.4500,1.5400,1.5400,18041537,0.0000,1.0000
2019-02-28,1.4700,1.6300,1.4550,1.5200,1.5200,63422340,0.0000,1.0000
2019-02-27,1.2400,1.3300,1.2200,1.2400,1.2400,18019864,0.0000,1.0000
2019-02-26,1.2200,1.2600,1.2000,1.2500,1.2500,4660728,0.0000,1.0000
2019-02-25,1.2300,1.2400,1.2000,1.2200,1.2200,6415380,0.0000,1.0000
2019-02-22,1.2200,1.2700,1.2050,1.2300,1.2300,6454468,0.0000,1.0000
2019-02-21,1.3000,1.3083,1.2000,1.2100,1.2100,13113057,0.0000,1.0000
2019-02-20,1.3300,1.3500,1.2800,1.3000,1.3000,9586880,0.0000,1.0000
2019-02-19,1.3200,1.3300,1.2700,1.3300,1.3300,6407573,0.0000,1.0000
2019-02-15,1.3900,1.4000,1.3000,1.3000,1.3000,9061164,0.0000,1.0000
2019-02-14,1.3500,1.3900,1.3100,1.3800,1.3800,6552883,0.0000,1.0000
2019-02-13,1.2900,1.3800,1.2900,1.3700,1.3700,11360968,0.0000,1.0000
2019-02-12,1.2800,1.3200,1.2700,1.3000,1.3000,6626891,0.0000,1.0000
2019-02-11,1.2900,1.3000,1.2500,1.2600,1.2600,5193191,0.0000,1.0000
2019-02-08,1.3400,1.3600,1.2700,1.2700,1.2700,5386523,0.0000,1.0000
2019-02-07,1.3200,1.3700,1.3000,1.3300,1.3300,8536099,0.0000,1.0000
2019-02-06,1.3500,1.3599,1.2950,1.3200,1.3200,6920288,0.0000,1.0000
2019-02-05,1.3400,1.4000,1.3200,1.3500,1.3500,7787160,0.0000,1.0000
2019-02-04,1.3200,1.3400,1.2900,1.3400,1.3400,3999251,0.0000,1.0000
2019-02-01,1.3200,1.3500,1.2700,1.3200,1.3200,6030881,0.0000,1.0000
2019-01-31,1.2800,1.3200,1.2700,1.3200,1.3200,3231729,0.0000,1.0000
2019-01-30,1.3000,1.3100,1.2600,1.2700,1.2700,3592873,0.0000,1.0000
2019-01-29,1.3000,1.3200,1.2300,1.2900,1.2900,6338665,0.0000,1.0000
2019-01-28,1.3400,1.3500,1.2900,1.3200,1.3200,4689526,0.0000,1.0000
2019-01-25,1.2800,1.3500,1.2700,1.3500,1.3500,5844998,0.0000,1.0000
2019-01-24,1.2600,1.2800,1.2300,1.2800,1.2800,4018248,0.0000,1.0000
2019-01-23,1.2300,1.2800,1.1900,1.2600,1.2600,7397614,0.0000,1.0000
2019-01-22,1.3000,1.3185,1.2000,1.2100,1.2100,8548668,0.0000,1.0000
2019-01-18,1.3400,1.3500,1.3200,1.3200,1.3200,4627620,0.0000,1.0000
2019-01-17,1.3100,1.3599,1.3000,1.3500,1.3500,6041140,0.0000,1.0000
2019-01-16,1.3200,1.3600,1.2800,1.3000,1.3000,8884956,0.0000,1.0000
2019-01-15,1.3300,1.3300,1.2800,1.3200,1.3200,3793655,0.0000,1.0000
2019-01-14,1.3300,1.3500,1.3000,1.3000,1.3000,5354566,0.0000,1.0000
2019-01-11,1.2800,1.3400,1.2500,1.3200,1.3200,7694132,0.0000,1.0000
2019-01-10,1.2800,1.3000,1.2200,1.2800,1.2800,11178865,0.0000,1.0000
2019-01-09,1.2300,1.3600,1.2300,1.3400,1.3400,12894218,0.0000,1.0000
2019-01-08,1.3100,1.4100,1.2000,1.2100,1.2100,28324186,0.0000,1.0000
2019-01-07,1.1100,1.3000,1.1000,1.2800,1.2800,17343837,0.0000,1.0000
2019-01-04,1.0800,1.1100,1.0700,1.1000,1.1000,8696950,0.0000,1.0000
2019-01-03,1.1200,1.1400,1.0450,1.0600,1.0600,10052207,0.0000,1.0000
2019-01-02,1.0200,1.1500,1.0150,1.1400,1.1400,9846491,0.0000,1.0000
2018-12-31,1.0300,1.0500,0.9800,1.0400,1.0400,15815914,0.0000,1.0000
2018-12-28,0.9737,1.0300,0.9500,1.0300,1.0300,8977925,0.0000,1.0000
2018-12-27,1.0200,1.0300,0.9200,0.9708,0.9708,12059714,0.0000,1.0000
2018-12-26,1.0500,1.0800,0.9900,1.0500,1.0500,12510745,0.0000,1.0000
2018-12-24,1.0700,1.0800,1.0000,1.0200,1.0200,6555559,0.0000,1.0000
2018-12-21,1.1300,1.1800,1.0400,1.0900,1.0900,13782066,0.0000,1.0000
2018-12-20,1.1400,1.1800,1.0700,1.1200,1.1200,13391188,0.0000,1.0000
2018-12-19,1.2000,1.2500,1.1250,1.1900,1.1900,9262565,0.0000,1.0000
2018-12-18,1.2000,1.2400,1.1800,1.2000,1.2000,7677037,0.0000,1.0000
2018-12-17,1.1700,1.2600,1.1500,1.2000,1.2000,11719317,0.0000,1.0000
2018-12-14,1.2700,1.3000,1.1700,1.2000,1.2000,7317672,0.0000,1.0000
2018-12-13,1.3800,1.3900,1.2600,1.2700,1.2700,9306212,0.0000,1.0000
2018-12-12,1.3800,1.4200,1.3700,1.3800,1.3800,6307529,0.0000,1.0000
2018-12-11,1.3700,1.4200,1.3450,1.3800,1.3800,5235373,0.0000,1.0000
2018-12-10,1.3900,1.4000,1.3300,1.3600,1.3600,5129284,0.0000,1.0000
2018-12-07,1.3800,1.4200,1.3700,1.3900,1.3900,5134308,0.0000,1.0000
2018-12-06,1.3300,1.4000,1.3100,1.3900,1.3900,7716406,0.0000,1.0000
2018-12-04,1.4200,1.4400,1.3500,1.3600,1.3600,7413078,0.0000,1.0000
2018-12-03,1.4500,1.4600,1.4200,1.4400,1.4400,9511536,0.0000,1.0000
2018-11-30,1.4300,1.4400,1.4100,1.4300,1.4300,6259969,0.0000,1.0000
2018-11-29,1.4700,1.4700,1.4000,1.4300,1.4300,6637482,0.0000,1.0000
2018-11-28,1.4700,1.4800,1.4000,1.4800,1.4800,8612946,0.0000,1.0000
2018-11-27,1.3600,1.4800,1.3500,1.4400,1.4400,12036222,0.0000,1.0000
2018-11-26,1.3500,1.3900,1.3150,1.3800,1.3800,7512931,0.0000,1.0000
2018-11-23,1.3000,1.3500,1.2600,1.3100,1.3100,4382583,0.0000,1.0000
2018-11-21,1.3200,1.3400,1.2400,1.3200,1.3200,6964338,0.0000,1.0000
2018-11-20,1.2350,1.3200,1.1700,1.2900,1.2900,17133430,0.0000,1.0000
2018-11-19,1.3400,1.3500,1.1800,1.2700,1.2700,12505439,0.0000,1.0000
2018-11-16,1.2900,1.4400,1.2600,1.2900,1.2900,24860536,0.0000,1.0000
2018-11-15,1.0900,1.4300,1.0450,1.3600,1.3600,39513004,0.0000,1.0000
2018-11-14,1.3000,1.3100,1.2200,1.2200,1.2200,19987562,0.0000,1.0000
2018-11-13,1.3000,1.3200,1.2600,1.2800,1.2800,10353360,0.0000,1.0000
2018-11-12,1.3500,1.3700,1.2600,1.2800,1.2800,11106921,0.0000,1.0000
2018-11-09,1.4500,1.4500,1.3300,1.3400,1.3400,15190895,0.0000,1.0000
2018-11-08,1.4900,1.5100,1.4300,1.4500,1.4500,9233034,0.0000,1.0000
2018-11-07,1.5500,1.5500,1.4400,1.5100,1.5100,12434709,0.0000,1.0000
2018-11-06,1.5600,1.5800,1.5100,1.5500,1.5500,8297625,0.0000,1.0000
2018-11-05,1.5600,1.5800,1.5100,1.5700,1.5700,7703967,0.0000,1.0000
2018-11-02,1.5000,1.5900,1.4900,1.5600,1.5600,13052044,0.0000,1.0000
2018-11-01,1.4600,1.5100,1.4400,1.4900,1.4900,13051088,0.0000,1.0000
2018-10-31,1.4300,1.4700,1.3800,1.4700,1.4700,15974513,0.0000,1.0000
2018-10-30,1.3900,1.5000,1.3800,1.4000,1.4000,16020333,0.0000,1.0000
2018-10-29,1.4000,1.4900,1.3400,1.3600,1.3600,19745841,0.0000,1.0000
2018-10-26,1.4100,1.4100,1.3100,1.3800,1.3800,15686439,0.0000,1.0000
2018-10-25,1.4400,1.4600,1.4000,1.4300,1.4300,10251206,0.0000,1.0000
2018-10-24,1.4500,1.4750,1.4100,1.4300,1.4300,11299575,0.0000,1.0000
2018-10-23,1.4800,1.4800,1.3800,1.4500,1.4500,18015875,0.0000,1.0000
2018-10-22,1.5200,1.5300,1.4400,1.5100,1.5100,13607904,0.0000,1.0000
2018-10-19,1.4800,1.5300,1.4200,1.5200,1.5200,12628300,0.0000,1.0000
2018-10-18,1.5400,1.5400,1.4300,1.4900,1.4900,21915579,0.0000,1.0000
2018-10-17,1.5600,1.5700,1.5200,1.5300,1.5300,8187591,0.0000,1.0000
2018-10-16,1.6700,1.6792,1.5100,1.5600,1.5600,29485214,0.0000,1.0000
2018-10-15,1.7400,1.7400,1.6600,1.6800,1.6800,9689451,0.0000,1.0000
2018-10-12,1.8500,1.8900,1.6200,1.7600,1.7600,21926186,0.0000,1.0000
